2018/11/28 12:14:30 [error] 9#9: *16 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2018/12/03 11:43:30 [error] 9#9: *15 open() "/var/www/instreet/media/wysiwyg/categoryBanner/cocuk.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/cocuk.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 11:43:30 [error] 9#9: *14 open() "/var/www/instreet/media/wysiwyg/categoryBanner/giyim.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/giyim.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 11:43:30 [error] 9#9: *15 open() "/var/www/instreet/media/wysiwyg/categoryBanner/aksesuar.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/aksesuar.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 12:15:17 [error] 9#9: *20 open() "/var/www/instreet/media/wysiwyg/categoryBanner/erkek.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/erkek.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 12:15:17 [error] 9#9: *20 open() "/var/www/instreet/media/wysiwyg/categoryBanner/kadin.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/kadin.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 12:15:17 [error] 9#9: *20 open() "/var/www/instreet/media/wysiwyg/categoryBanner/cocuk.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/cocuk.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 12:15:17 [error] 9#9: *20 open() "/var/www/instreet/media/wysiwyg/categoryBanner/giyim.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/giyim.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 12:15:17 [error] 9#9: *20 open() "/var/www/instreet/media/wysiwyg/categoryBanner/aksesuar.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/aksesuar.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 12:30:30 [error] 9#9: *27 open() "/var/www/instreet/media/wysiwyg/categoryBanner/erkek.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/erkek.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 12:30:30 [error] 9#9: *29 open() "/var/www/instreet/media/wysiwyg/categoryBanner/kadin.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/kadin.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 12:30:30 [error] 9#9: *29 open() "/var/www/instreet/media/wysiwyg/categoryBanner/cocuk.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/cocuk.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 12:30:30 [error] 9#9: *26 open() "/var/www/instreet/media/wysiwyg/categoryBanner/giyim.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/giyim.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 12:30:30 [error] 9#9: *26 open() "/var/www/instreet/media/wysiwyg/categoryBanner/aksesuar.jpg" failed (2: No such file or directory), client: 172.19.0.1, server: local.instreet.com.tr, request: "GET /media/wysiwyg/categoryBanner/aksesuar.jpg HTTP/1.1", host: "local.instreet.com.tr", referrer: "http://local.instreet.com.tr/"
2018/12/03 14:01:33 [error] 9#9: *5 open() "/var/www/flo/media/desktop/loading.gif" failed (2: No such file or directory), client: 172.20.0.1, server: local.flo.com.tr, request: "GET /media/desktop/loading.gif HTTP/1.1", host: "local.flo.com.tr", referrer: "http://local.flo.com.tr/"
2018/12/03 14:01:33 [error] 9#9: *7 open() "/var/www/flo/media/wysiwyg/desktop/home/odemeLogolari.png" failed (2: No such file or directory), client: 172.20.0.1, server: local.flo.com.tr, request: "GET /media/wysiwyg/desktop/home/odemeLogolari.png HTTP/1.1", host: "local.flo.com.tr", referrer: "http://local.flo.com.tr/"
2018/12/03 14:01:33 [error] 9#9: *6 open() "/var/www/flo/media/wysiwyg/desktop/home/bankaLogolari.png" failed (2: No such file or directory), client: 172.20.0.1, server: local.flo.com.tr, request: "GET /media/wysiwyg/desktop/home/bankaLogolari.png HTTP/1.1", host: "local.flo.com.tr", referrer: "http://local.flo.com.tr/"
2018/12/03 14:01:33 [error] 9#9: *6 open() "/var/www/flo/media/desktop/loading.gif" failed (2: No such file or directory), client: 172.20.0.1, server: local.flo.com.tr, request: "GET /media/desktop/loading.gif HTTP/1.1", host: "local.flo.com.tr", referrer: "http://local.flo.com.tr/"
2018/12/12 09:21:17 [error] 9#9: *25 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: local.magento2.com, request: "GET /deneme.php HTTP/1.1", upstream: "fastcgi://172.20.0.7:9000", host: "local.magento2.com"
2018/12/12 09:51:16 [error] 9#9: *1 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/calendar.css" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/calendar.css HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:51:16 [error] 9#9: *2 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/css/styles-m.css" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/css/styles-m.css HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:51:16 [error] 9#9: *5 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs/require.js" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs/require.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:51:16 [error] 9#9: *7 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs-config.js" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/requirejs-config.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
2018/12/12 09:51:16 [error] 9#9: *9 open() "/var/www/magento2/pub/static/version1544606819/frontend/Magento/luma/en_US/mage/requirejs/mixins.js" failed (2: No such file or directory), client: 172.23.0.1, server: local.magento2.com, request: "GET /pub/static/version1544606819/frontend/Magento/luma/en_US/mage/requirejs/mixins.js HTTP/1.1", host: "local.magento2.com", referrer: "http://local.magento2.com/"
